id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,created_timestamp,change_reason,year_filing_for,sector,zipcode,naics_char,All Types of Injuries
2682305,"disney business productions, llc",225406,593635177.0,,1375 Buena Vista Drive,Lake Buena Vista,FL,32830,713110,2012,,1.0,3,266,347388,1,0,0,2,1,0,55,3,0,0,0,0,0,18FEB25:22:52:00,,2024,"Arts, Entertainment, and Recreation",32830,713110,3
2682314,"disney vacation development, inc.",225417,593039587.0,,220 Celebration Place,Celebration,FL,34747,531390,2012,,1.0,3,284,494652,1,0,2,4,1,9,297,7,0,0,0,0,0,18FEB25:22:54:00,,2024,Real Estate and Rental and Leasing,34747,531390,7
2682351,"disney photo imaging, llc",225432,760770488.0,,1375 Buena Vista Drive,Lake Buena Vista,FL,32830,512199,2012,,1.0,3,274,517835,1,0,3,5,0,35,150,8,0,0,0,0,0,18FEB25:23:11:00,,2024,Information,32830,512199,8
2665503,walt disney parks and resorts us inc,225446,952412883.0,,1375 Buena Vista Drive,Lake Buena Vista,FL,32830,713110,2012,,1.0,3,68976,104795796,1,0,797,1947,310,6952,82606,2411,9,1,0,11,622,13FEB25:20:31:00,,2024,"Arts, Entertainment, and Recreation",32830,713110,3054
2682882,sodexo at disney land eat ticket,340189,204855412.0,Sodexo  Inc.,1313 S Harbor Blvd,Anaheim,CA,92802,722310,2012,Food Service Contractors,1.0,21,68,61679,1,0,0,0,4,0,0,3,0,0,0,0,1,19FEB25:00:45:00,Initial Submission,2024,Accommodation and Food Services,92802,722310,4
2682322,"disney vacation club management, llc",371517,593039581.0,,1390 Celebration Place,Celebration,FL,34747,721110,2012,,1.0,3,2892,4422245,1,0,33,61,12,568,3325,85,0,0,0,1,20,18FEB25:22:58:00,,2024,Accommodation and Food Services,34747,721110,106
2682365,"disney financial services co., llc",371518,472350992.0,,500 South Buena Vista Street,Burbank,CA,91521,541219,2012,,1.0,3,823,710156,1,0,0,2,0,0,17,2,0,0,0,0,0,18FEB25:23:19:00,,2024,"Professional, Scientific, and Technical Services",91521,541219,2
2682369,"disney global product development and creative, inc.",467417,460478766.0,,500 South Buena Vista Street,Burbank,CA,91521,713990,2012,,1.0,3,414,528429,1,0,1,2,1,1,79,4,0,0,0,0,0,18FEB25:23:21:00,,2024,"Arts, Entertainment, and Recreation",91521,713990,4
2682377,"disney human resources services co., llc",467418,472258046.0,,500 South Buena Vista Street,Burbank,CA,91521,541612,2012,,1.0,3,663,52970,1,0,0,0,1,0,0,0,0,0,0,0,1,18FEB25:23:25:00,,2024,"Professional, Scientific, and Technical Services",91521,541612,1
2682405,"disney parks technology services co., llc",467419,811521860.0,,"1375 Buena Vista Drive, 4th Floor",Lake Buena Vista,FL,32830,713110,2012,,1.0,3,1659,1570221,1,0,0,3,1,0,175,3,0,0,0,0,1,18FEB25:23:31:00,,2024,"Arts, Entertainment, and Recreation",32830,713110,4
2696166,sodexo at disneyland neighborhood cafe,471305,204855412.0,Sodexo Inc,1313 S Harbor Blvd,Anaheim,CA,92802,722310,2012,Food Service Contractors,1.0,21,45,31136,2,0,0,0,0,0,0,0,0,0,0,0,0,19FEB25:23:44:00,,2024,Accommodation and Food Services,92802,722310,0
2696167,sodexo at disney land inn between,471306,204855412.0,Sodexo Inc,1313 S Harbor Blvd,Anaheim,CA,92802,722310,2012,Food Service Contractors,1.0,21,62,37764,2,0,0,0,0,0,0,0,0,0,0,0,0,19FEB25:23:44:00,,2024,Accommodation and Food Services,92802,722310,0
2683047,sodexo at disney land westsider grill,471307,204855412.0,Sodexo  Inc.,1313 S Harbor Blvd,Anaheim,CA,92802,722310,2012,Food Service Contractors,1.0,21,25,18909,1,0,0,0,2,0,0,2,0,0,0,0,0,19FEB25:00:46:00,Initial Submission,2024,Accommodation and Food Services,92802,722310,2
2696168,sodexo at disney land cafe bungalow gril,471308,204855412.0,Sodexo Inc,1313 S Harbor Blvd,Anaheim,CA,92802,722310,2012,Food Service Contractors,1.0,21,30,21048,2,0,0,0,0,0,0,0,0,0,0,0,0,19FEB25:23:44:00,,2024,Accommodation and Food Services,92802,722310,0
2683178,sodexo at disney land dlh cafe,471309,204855412.0,Sodexo  Inc.,1313 S Harbor Blvd,Anaheim,CA,92802,722310,2012,Food Service Contractors,1.0,21,26,13203,1,0,0,0,1,0,0,1,0,0,0,0,0,19FEB25:00:47:00,Initial Submission,2024,Accommodation and Food Services,92802,722310,1
2696169,sodexo at disneyland harbor point starbu,471310,204855412.0,Sodexo Inc,1313 S Harbor Blvd,Anaheim,CA,92802,722310,2012,Food Service Contractors,1.0,21,42,30145,2,0,0,0,0,0,0,0,0,0,0,0,0,19FEB25:23:44:00,,2024,Accommodation and Food Services,92802,722310,0
2619258,sixt rent a car - kissimmee orlando near disney 621,608702,274394382.0,Sixt Rent A Car LLC,7470 W Irlo Bronson Memorial																	,Kissimimmee,FL,34747,532111,2012,Car rental,1.0,1,5,8997,2,0,0,0,0,0,0,0,0,0,0,0,0,05FEB25:18:37:00,,2024,Real Estate and Rental and Leasing,34747,532111,0
2597248,walt disney imagineering - burbank/glendale,708204,950684440.0,The Walt Disney Company,500 South Buena Vista Street,Burbank,CA,91521,541715,2012,Engineering research and development laboratories or services (except nanotechnology research and development),1.0,3,1080,2170986,1,0,1,3,1,2,105,4,0,0,0,0,1,31JAN25:18:40:00,,2024,"Professional, Scientific, and Technical Services",91521,541715,5
2772574,fl - disney nge,708645,562237457.0,GXO Logistics Supply Chain Inc,2324 Waverly Barn Road,Davenport,FL,33897,493110,2012,General Warehousing and Storage,1.0,21,27,56240,2,0,0,0,0,0,0,0,0,0,0,0,0,27FEB25:01:34:00,,2024,Transportation and Warehousing,33897,493110,0
2597304,the walt disney company-burbank,742158,950684440.0,The Walt Disney Company,500 South Buena Vista Street,Burbank,CA,91521,512110,2012,Motion picture and video production and distribution,1.0,3,2965,6127608,1,0,3,1,2,161,22,6,0,0,0,0,0,31JAN25:18:42:00,,2024,Information,91521,512110,6
2597340,the walt disney company direct to consumer,742163,950684440.0,The Walt Disney Company,500 South Buena Vista Street,Burbank,CA,91521,512110,2012,Motion picture and video production and distribution,1.0,3,1221,2508260,1,0,0,0,2,0,0,2,0,0,0,0,0,31JAN25:18:44:00,,2024,Information,91521,512110,2
2682330,"walt disney imagineering research & development, inc.",849071,954600124.0,,1401 Flower Street,Glendale,CA,91221,541712,2012,Engineering research and development laboratories or services,1.0,3,720,893057,1,0,2,1,2,57,102,5,0,0,0,0,0,18FEB25:23:02:00,,2024,"Professional, Scientific, and Technical Services",91221,541712,5
2580770,the walt disney company-corporate,855324,,The Walt Disney Company,147 Columbus Avenue,New York,NY,10023,512110,2012,"Program producing, television",1.0,3,406,807597,2,0,0,0,0,0,0,0,0,0,0,0,0,29JAN25:21:20:00,,2024,Information,10023,512110,0
2683223,sodexo at wdw team disney,863794,204855412.0,Sodexo  Inc.,1375 E Buena Vista Dr,Orlando,FL,32830,722310,2012,Food Service Contractors,1.0,1,16,8339,1,0,0,0,1,0,0,1,0,0,0,0,0,19FEB25:00:47:00,Initial Submission,2024,Accommodation and Food Services,32830,722310,1
